#archivo datos para DisjuntivoMultietapaFull
#param: T:  nomeT     alpha:=
T= [
         1  Stage1  1
		 2  Stage2  0.729
18	21	500	500	0.0259	36.0	2	5
19	20	500	500	0.0396	55.0	2	5
20	23	500	500	0.0216	30.0	2	5
21	22	500	500	0.0678	94.0	1	5
1	8	500	500	0.1344	35.0	0	5
2	8	500	500	0.1267	33.0	0	5
6	7	500	500	0.192	50.0	0	5
13	14	500	500	0.0447	62.0	0	5
14	23	500	500	0.062	86.0	0	5
16	23	500	500	0.0822	114.0	0	5
19	23	500	500	0.0606	84.0	0	5
]		
#param: C: nomeC   tipoC  ProbC:=
nomC= [
       1  Base       0   1.0
]	   
	   
#param Ncont[*,*,*] : 1
Ncont= [
1	2	0
1	3	0
1	5	0
2	4	0
2	6	0
3	9	0
3	24	0
4	9	0
5	10	0
6	10	0
7	8	0
8	9	0
8	10	0
9	11	0
9	12	0
10	11	0
10	12	0
11	13	0
11	14	0
12	13	0
12	23	0
13	23	0
14	16	0
15	16	0
15	21	0
15	24	0
16	17	0
16	19	0
17	18	0
17	22	0
18	21	0
19	20	0
20	23	0
21	22	0
1	8	0
2	8	0
6	7	0
13	14	0
14	23	0
16	23	0
19	23	0
]

Sbase = 100
thmax = 1.570795  
#cr=0  #obtiene racionamiento en todas las barras, 
cr=6  #cr=6000 obtimiza
